Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Organization),Founded Date,Founded Date Precision,Website,Contact Email,Number of Articles,Number of Employees,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Type,IPO Date,IPO Status,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,IPqwery - Patents Granted
AIVIA,https://www.crunchbase.com/organization/nousplatform,"Blockchain, Computer, Financial Services, Information Technology, Software","San Diego, California, United States",Global Investment Marketplace for Digital Assets,"40,273",2017-04-25,day,https://aivia.io,ao@aivia.io,,11-50,2018-01-31,480000,USD,480000,600000,USD,600000,Seed,,Private,,,,,,
SecureStack,https://www.crunchbase.com/organization/securestack,"Cloud Infrastructure, Cloud Security, Cyber Security, SaaS","Gold Coast, Queensland, Australia",SecureStack is a cloud security platform that allows companies build secure infrastructure anywhere.,"40,433",2017-11-07,day,https://securestack.com,info@securestack.com,3,1-10,2018-11-15,50000,AUD,36350,144000,AUD,103973,Pre-Seed,,Private,,,,,,
Hexel,https://www.crunchbase.com/organization/hexel,"Cryptocurrency, Productivity Tools, Software, Virtual Currency","San Francisco, California, United States",Hexel is a startup that wants to make it easy for anyone to use Ethereum-based tokens to engage their hyperlocal community.,"40,512",2017-01-01,year,https://www.onhexel.com/,support@onhexel.com,1,,2018-01-04,120000,USD,120000,120000,USD,120000,Seed,,Private,,,,,,
FRESCO,https://www.crunchbase.com/organization/fresco-60a9,"Art, Blockchain, Performing Arts","Zug, Zug, Switzerland",Blockchain Art Asset Network.,"40,535",2017-10-14,day,http://fresco.work/,team@fresco.work,,11-50,2018-06-06,5000000,USD,5000000,5100000,USD,5100000,Seed,,Private,,,,,,
StopFakeFood,https://www.crunchbase.com/organization/stopfakefood,"Analytics, Blockchain, Information Technology, SaaS, Software Engineering","Vilnius, Vilniaus Apskritis, Lithuania",Food integrity and product authenticity solutions using AI and Spectrometry,"40,959",2017-08-30,day,https://www.stopfakefood.com/,info@stopfakefood.com,,11-50,2018-09-01,,,,1000000,USD,1000000,Seed,,Private,,,,,,
Blockchain Company,https://www.crunchbase.com/organization/blockchain-company,"Blockchain, Cryptocurrency, Information Technology, Internet","Barcelona, Catalonia, Spain",Blockchain Company is a media platform helping people discover blockchain news.,"41,247",2017-03-17,day,http://www.blockchaincompany.info,contact@blockchaincompany.info,3,1-10,2017-08-15,1255000,EUR,1473409,1255000,EUR,1473409,Seed,,Private,,,,,,
Yuandudu Technology,https://www.crunchbase.com/organization/yuandudu-technology,"Auto Insurance, Automotive, Fraud Detection, Insurance, InsurTech","Beijing, Beijing, China",Yuandudu Technology engages through an automobile insurance claims anti-fraud platform.,"41,351",2017-01-01,year,http://www.yuandudunet.com,,,,2019-01-15,3000000,USD,3000000,3000000,USD,3000000,Seed,,Private,,,,,,
Ben,https://www.crunchbase.com/organization/ben,"Bitcoin, Cryptocurrency, Internet","San Diego, California, United States","Ben aims to be a unified platform for learning about, buying, selling, and storing cryptocurrency.","41,518",2017-10-26,day,https://ben.co,support@ben.co,1,1-10,2018-01-04,120000,USD,120000,120000,USD,120000,Angel,,Private,,,,,,
Tutellus,https://www.crunchbase.com/organization/tutellus,"Blockchain, Collaborative Consumption, Communities, E-Learning, EdTech, Education","Madrid, Madrid, Spain",Tutellus is a P2P edtech platform based on blockchain that pays students for learning.,"41,700",2017-01-01,year,http://www.tutellus.io,ico@tutellus.io,4,11-50,2016-12-17,300000,USD,300000,1453521,USD,1453521,Seed,,Private,,,,,,
Ryu Blockchain Technologies,https://www.crunchbase.com/organization/ryu-blockchain-technologies,"Blockchain, Gaming, Online Games","San Francisco, California, United States",Ryu Games makes games more fun for users and more profitable for developers.,"42,009",2017-11-01,month,https://ryu.games,team@ryu.games,,1-10,2018-12-31,,,,250000,USD,250000,Seed,,Private,,,,,,
Lendflo,https://www.crunchbase.com/organization/lendflo,"Blockchain, Financial Services, Payments","London, England, United Kingdom",LendFlo - A peer-to-peer invoice financing marketplace built on the Ethereum Blockchain.,"42,076",2017-01-01,year,https://lendflo.com/,remi.tuyaerts@lendflo.com,,1-10,2017-09-01,112000,GBP,145040,112000,GBP,145040,Pre-Seed,,Private,,,,,,
"Other Mind, Inc.",https://www.crunchbase.com/organization/other-mind-inc,"Artificial Intelligence, Cryptocurrency, Digital Media, Intelligent Systems, Machine Learning, Mobile Payments, Natural Language Processing, Social Impact, Social Media, Social Network, Virtual Assistant","Los Angeles, California, United States",The first proactive AI assistant that sits at the epicentre of AI and daily life,"42,235",2017-04-01,month,https://othermind.com,Info@othermind.com,,1-10,2017-07-01,640000,USD,640000,640000,USD,640000,Seed,,Private,,,,,,
Proof Work,https://www.crunchbase.com/organization/proof-work,"Blockchain, Health Care, mHealth, Personal Health","Ra'anana, HaMerkaz, Israel",Proof Work decentralizes healthcare data on the blockchain.,"42,482",2017-05-01,day,http://www.proof.work,guy@proof.work,4,1-10,2018-06-01,215000,USD,215000,215000,USD,215000,Seed,,Private,,,,,,
Luminate Security,https://www.crunchbase.com/organization/luminate-security,"Cloud Security, Cyber Security, Network Security, Software","Palo Alto, California, United States","Luminate delivers the The Secure Access Cloud™, a quick to setup and easy to manage access to corporate resources in the hybrid cloud.","42,515",2017-01-01,year,https://luminate.io,info@luminate.io,1,11-50,2018-03-14,11000000,USD,11000000,14000000,USD,14000000,Series A,,Private,,,,,,
Hmatix Inc,https://www.crunchbase.com/organization/hmatix,"Cyber Security, Health Care, Information Technology, Security","Sunnyvale, California, United States",Stealth cyber-security startup for Health Care,"42,827",2017-09-01,day,http://hmatix.com,info@hmatix.com,,1-10,2018-10-03,500000,USD,500000,500000,USD,500000,Seed,,Private,,,,,,
BitOfProperty,https://www.crunchbase.com/organization/bitofproperty,"3D Technology, Blockchain, Crowdfunding, Real Estate Investment","Singapore, Central Region, Singapore",We enable blockchain based liquid investing to international real estate starting from small amounts,"43,255",2017-07-03,day,http://www.bitofproperty.com,team@bitofproperty.com,1,1-10,2018-05-10,,,,85000,SGD,61507,Seed,,Private,,,,,,
1702ai,https://www.crunchbase.com/organization/cinedit,"Augmented Reality, Public Safety, SaaS, Security, Virtual Reality","Hombrechtikon, Zurich, Switzerland",1702ai is a real-time threat detection surveillance video platform that uses already installed standard CCTV cameras.,"43,924",2017-01-01,month,http://www.1702ai.com,,4,1-10,2018-07-01,100000,USD,100000,100000,USD,100000,Pre-Seed,,Private,,,,,,
High Performance Blockchain,https://www.crunchbase.com/organization/high-performance-blockchain,"Bitcoin, Blockchain, Cryptocurrency","Shanghai, Shanghai, China",High Performance Blockchain is a Blockchain platform.,"43,926",2017-01-01,year,https://hpb.io/,,,,2018-06-28,20000000,USD,20000000,20000000,USD,20000000,Series A,,Private,,,,,,
The Office Pass,https://www.crunchbase.com/organization/the-office-pass,"Coworking, Information Technology, Office Administration, Rental, Security","Gurgaon, Haryana, India","The Office Pass (TOP) is a technology platform that connects companies & professionals to ""ready to use"" cool, economical","44,100",2017-01-01,year,https://www.theofficepass.com/,hello@theofficepass.com,2,1-10,2017-04-25,245000,USD,245000,245000,USD,245000,Seed,,Private,,,,,,
Vipicash,https://www.crunchbase.com/organization/vipicash,"Blockchain, Financial Services, Service Industry","Oslo, Oslo, Norway","Vipicash locks cash into goods and services to eradicate corruption and mismanagement of funds sent to Africa, Asia and Latin America.","44,360",2017-06-01,day,https://vipicash.no/,,,,2017-11-30,2200000,NOK,264415,2200000,NOK,264415,Seed,,Private,,,,,,
iXDen,https://www.crunchbase.com/organization/ix-den,"Cyber Security, Internet of Things","Jerusalem, Yerushalayim, Israel","Invented  ""biometric-like"" IoT Device Identity and Authentication using mathematics and AI, securing IoT payments performed by wearables.","44,419",2017-01-01,year,https://www.ixden.com,Zion.Harel@iXDen.com,,1-10,2018-01-15,,,,100000,USD,100000,Convertible Note,,Private,,,,,,
PassCamp,https://www.crunchbase.com/organization/passcamp,"Cyber Security, Security, Software","Kaunas, Kauno Apskritis, Lithuania",PassCamp is a password manager built with zero-knowledge encryption to safely keep and share sensitive information within your team.,"44,725",2017-01-01,year,https://www.passcamp.com,support@passcamp.com,,11-50,2016-06-01,200000,EUR,223704,200000,EUR,223704,Seed,,Private,,,,,,
Merit Labs,https://www.crunchbase.com/organization/merit-labs,"Blockchain, Cryptocurrency, Finance","Singapore, Central Region, Singapore","Merit Labs is the company behind Merit, an invite-only digital currency. ","45,215",2017-01-01,year,https://www.merit.me/,,1,11-50,2018-05-09,1000000,USD,1000000,1000000,USD,1000000,Seed,,Private,,,,,,
Dioreum,https://www.crunchbase.com/organization/dioreum,"Blockchain, Data Integration, Operating Systems","New York, New York, United States",Dioreum is a decentralized platform which allows the creation and implementation of smart contracts and decentralized applications.,"45,236",2017-08-11,day,http://www.dioreum.com,team@dioreum.com,,,2017-09-01,10000000,USD,10000000,10000000,USD,10000000,Seed,,Private,,,,,,
Dimension,https://www.crunchbase.com/organization/dimension-293e,"Artificial Intelligence, Big Data, Blockchain, Natural Language Processing, Privacy, Security","Tokyo, Tokyo, Japan",Cyberian Lives Matter,"45,282",2017-12-01,day,http://dimension.im,info@dimension.im,1,11-50,2018-10-15,400000,USD,400000,1000000,USD,1000000,Series A,,Private,,,,,,
Gleam AI,https://www.crunchbase.com/organization/gleam-ai,"Analytics, Artificial Intelligence, Big Data, Cyber Security, Machine Learning, Network Security, Predictive Analytics, SaaS","Seville, Andalucia, Spain",Un-intrusive AI-Powered Cybersecurity SaaS platform for Enterprises and Service Providers,"45,374",2017-12-18,day,https://gleam.ai/,hello@gleam.ai,,11-50,2018-09-11,,,,270000,EUR,318165,Seed,,Private,,,,,,
TruGrid,https://www.crunchbase.com/organization/trugrid,"Cloud Computing, Cyber Security, Enterprise Software, Internet, Software","Schaumburg, Illinois, United States",Simple & Secure Workspaces. VDI. Desktops Anywhere. SaaS. Cloud Scalability.,"45,412",2017-06-08,day,https://www.trugrid.com,info@trugrid.com,,1-10,2018-08-27,480000,USD,480000,480000,USD,480000,Seed,,Private,,,,,,
Fascent technologies,https://www.crunchbase.com/organization/fascent-technologies,"Big Data, Cloud Data Services, Consumer Applications, Cyber Security, Enterprise Applications, Enterprise Software, Information Technology, Internet, Internet of Things, Mobile Advertising, Mobile Apps, Network Security, Security, Software, Web Development","Hyderabad, Andhra Pradesh, India",Software development company,"45,549",2017-12-01,month,,,3,51-100,2018-02-01,1000000,INR,15650,2000000,INR,31313,Seed,,Private,,,,,,
Standard & Consensus (SNC),https://www.crunchbase.com/organization/standard-consensus-snc,Blockchain,"Beijing, Beijing, China",Standard & Consensus (SNC) is a Blockchain Company.,"45,600",2017-01-01,year,https://www.sncrating.com/en,,,,2018-08-17,2903980,USD,2903980,2903980,USD,2903980,Seed,,Private,,,,,,
Scroll,https://www.crunchbase.com/organization/scroll-network,"Blockchain, Enterprise Software, Peer to Peer, SaaS, Software","New Haven, Connecticut, United States","Scroll is a data management and security company and subsidiary of SoluTech, Inc.","45,617",2017-11-01,day,https://www.scroll.network/,support@scroll.network,1,11-50,2018-05-12,1000000,USD,1000000,1029200,USD,1029200,Seed,,Private,,,,,,
Splash Technologies,https://www.crunchbase.com/organization/splash-tech,"Bitcoin, Blockchain, Internet, iOS, Software","New York, New York, United States","Splash brings cryptocurrency into everyday life, for everyday transactions, for everyone.","45,673",2017-11-14,day,https://splash.tech,invest@splash.tech,,1-10,2018-03-01,175000,USD,175000,175000,USD,175000,Seed,,Private,,,,,,
ICO Watchdog,https://www.crunchbase.com/organization/ico-watchdog,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, News","Santa Monica, California, United States","ICO Watchdog is the leading authority in the cryptocurrency market helping cryptocurrency investors make smarter, more informed decisions.","45,777",2017-09-20,day,https://icowatchdog.com/,,,1-10,2018-03-20,500000,USD,500000,500000,USD,500000,Seed,,Private,,,,,,0
Omega Grid,https://www.crunchbase.com/organization/omega-grid,"Cryptocurrency, Energy, Enterprise Software, FinTech","Chicago, Illinois, United States",Omega Grid is a blockchain local energy market platform,"45,858",2017-02-02,day,http://www.omegagrid.com,info@omegagrid.com,5,,2017-07-27,100000,USD,100000,100000,USD,100000,Seed,,Private,,,,,,
Connext Inc.,https://www.crunchbase.com/organization/connext-inc,"Cryptocurrency, Financial Services, FinTech, Information Technology, Internet, Mobile Apps","San Francisco, California, United States",Scaling blockchain applications to millions of users,"46,527",2017-06-05,day,http://connext.network,founders@connext.network,,1-10,2018-07-03,50000,USD,50000,50000,USD,50000,Seed,,Private,,,,,,
KnowMeNow,https://www.crunchbase.com/organization/knowmenow,"Blockchain, File Sharing, Information Services, Information Technology, Payments, Security","Málta, Messinia, Greece","KnowMeNow harnesses the power of the blockchain to deliver efficient, secure, and reliable ways of verifying and sharing data.","46,528",2017-11-01,month,https://www.knowmenow.com/,info@knowmenow.com,,1-10,2018-08-01,400000,EUR,466500,400000,EUR,466500,Seed,,Private,,,,,,
Bombay Sour Films LLC,https://www.crunchbase.com/organization/bombay-sour-films-llc,"Blockchain, Machine Learning, Media and Entertainment, Mobile","Los Angeles, California, United States",We are building the world’s first blockchain-based entertainment platform for mobile.,"46,639",2017-03-01,day,https://www.bombaysour.com,hello@bombaysour.com,6,1-10,2018-03-01,250000,USD,250000,250000,USD,250000,Seed,,Private,,,,,,
Propify,https://www.crunchbase.com/organization/propify,"Artificial Intelligence, Cryptocurrency, Information Technology, Online Portals, Real Estate, Social Media, Software","Noosaville, Queensland, Australia","Real estate marketing on the Blockchain, an alternative to Zillow, Zoopla, realestate.com.au and realtor.com, with a social media interface.","46,666",2017-01-01,day,https://www.propify.online,hello@propify.online,20,11-50,2016-07-01,150000,USD,150000,150000,USD,150000,Seed,,Private,,,,,,
Sunny Valley Networks,https://www.crunchbase.com/organization/sunny-valley-networks,"Cloud Security, Embedded Software, Network Security, Security, Software","Sunnyvale, California, United States","Cyber Security, Network Security, Cloud Security","46,715",2017-02-15,day,https://sunnyvalley.io,hi@sunnyvalley.io,1,1-10,2017-12-15,404000,USD,404000,625000,USD,625000,Seed,,Private,,,,,,
LCubed AB (iGrant.io),https://www.crunchbase.com/organization/igrant-io,"Cloud Data Services, Information Technology, Internet, Mobile Apps, Security, Software","Stockholm, Stockholms Lan, Sweden","SaaS, Data Protection, Data Exchange, Consent Management, Consent Mediation, GDPR, Regulations, RegTech, Preference Management","46,754",2017-11-10,day,https://igrant.io,lal@igrant.io,,11-50,2018-07-20,150000,USD,150000,150000,USD,150000,Pre-Seed,,Private,,,,,,
D-ID,https://www.crunchbase.com/organization/d-id,"Artificial Intelligence, Facial Recognition, Privacy","Tel Aviv, Tel Aviv, Israel",D-ID is an artificial intelligence company that develops a solution protecting identities from face recognition.,"46,893",2017-01-01,year,http://www.d-id.com,,7,11-50,2018-10-25,5300000,USD,5300000,9300000,USD,9300000,Convertible Note,,Private,,,,,,
Userfeeds,https://www.crunchbase.com/organization/userfeeds,"Blockchain, Cryptocurrency, Digital Marketing","Warsaw, Mazowieckie, Poland",Userfeeds builds a platform for content networks and ranking algorithms that use digital tokens as ranking signals.,"46,911",2017-01-01,month,http://userfeeds.io,,1,,2017-04-24,,,,450000,USD,450000,Seed,,Private,,,,,,
Predictev,https://www.crunchbase.com/organization/predictev,"Blockchain, Cryptocurrency, FinTech, Fitness, Software, Sports","Los Angeles, California, United States","Blockchain-powered, prediction-focused social network where users earn emitted tokens. Bringing trust & rewards to risk-free predictions.","46,921",2017-06-26,day,https://predictev.com,support@predictev.com,1,1-10,2018-07-01,100000,USD,100000,100000,USD,100000,Seed,,Private,,,,,,
InsureVite,https://www.crunchbase.com/organization/insurevite,"Artificial Intelligence, B2B, Blockchain, Collaboration, FinTech, Information Technology, Insurance, Mobile Apps","Singapore, Central Region, Singapore",InsureVite is an omni-channel platform transforming the insurance business ecosystem,"46,974",2017-12-11,day,http://insurevite.com,contact@insurevite.com,,1-10,2018-11-01,,,,10000,USD,10000,Non-equity Assistance,,Private,,,,,,
SIMMST,https://www.crunchbase.com/organization/simmst-a-s,"Blockchain, Property Management, Real Estate, SaaS","Piestany, Trnava, Slovakia (Slovak Republic)",SIMMST is a Blockchain Real Estate Reputation Platform.,"47,520",2017-01-13,day,https://simmst.de,info@simmst.de,,1-10,2017-01-13,200000,EUR,212854,200000,EUR,212854,Pre-Seed,,Private,,,,,,
BeeStore,https://www.crunchbase.com/organization/beestore,"Bitcoin, Blockchain, Cryptocurrency","Beijing, Beijing, China",BeeStore is a Blockchain platform.,"47,650",2017-01-01,year,http://beestore.io,Robbie@beestore.io,,,2018-07-10,3026000,USD,3026000,3026000,USD,3026000,Series A,,Private,,,,,,
Luna - Social Nightlife,https://www.crunchbase.com/organization/luna-app,"Blockchain, Ethereum, Events, FinTech, Marketplace, Music, Nightlife, Social Network","Barcelona, Catalonia, Spain","Luna is the nightlife marketplace that unifies the experience of the client, party and promoter.","47,831",2017-11-01,month,https://getluna.app/,markus@getluna.app,3,1-10,2019-01-18,20000,EUR,22735,50000,EUR,58798,Pre-Seed,,Private,,,,,,
ArtChain Global,https://www.crunchbase.com/organization/artchain-global,"Art, Blockchain, Information Technology, Security, Software","Melbourne, Victoria, Australia","ArtChain Global is a revolution in tracking, protection and accountability for artwork.","48,070",2017-01-01,year,https://www.artchain.world/,,,11-50,2018-05-01,4000000,USD,4000000,4000000,USD,4000000,Seed,,Private,,,,,,
datavest,https://www.crunchbase.com/organization/datavest,"Big Data, Blockchain, Financial Services, SaaS, Wealth Management","Pasadena, California, United States",Datavest provides you with the ability to turn your personal data into a personal asset and passive income.,"48,154",2017-01-01,year,http://datavest.org,Rob@datavest.org,5,1-10,2017-07-07,235000,USD,235000,235000,USD,235000,Seed,,Private,,,,,,0
LifeDoor,https://www.crunchbase.com/organization/lifedoor,"Internet of Things, Security, Smart Home","Blaine, Washington, United States",LifeDoor is a lifesaving smarthome device which closes interior doors to block smoke and heat when signaled by a smoke detector. ,"48,782",2017-01-10,day,http://www.lifedoor.io,ben@lifedoor.io,2,1-10,2018-03-15,215000,USD,215000,215000,USD,215000,Seed,,Private,,,,,,
QBRICS,https://www.crunchbase.com/organization/qbrics,"Blockchain, Cyber Security, Health Care, Logistics, Quantum Computing","Park City, Utah, United States",QBRICS is an enterprise blockchain platform that focuses on interoperability with a product suite.,"48,839",2017-04-03,day,http://qbrics.com,info@qbrics.com,,1-10,2017-09-06,20000,USD,20000,20000,USD,20000,Seed,,Private,,,,,,0
Kevlara,https://www.crunchbase.com/organization/kevlara,"Apps, Security, Transportation","Estado De México, Campeche, Mexico",The premium transport network in LATAM.,"49,154",2017-09-01,month,https://www.kevlara.com,hello@kevlara.com,8,101-250,2018-04-15,800000,USD,800000,1000000,USD,1000000,Series A,,Private,,,,,,
Anoloriya,https://www.crunchbase.com/organization/anoloriya,"Blockchain, Consulting, Education, Financial Services, FinTech, Information Technology, Publishing","Ann Arbor, Michigan, United States","imaginative insight, sustainable strategy, & efficient execution.","49,363",2017-01-01,year,https://anoloriya.com,hi@anoloriya.com,,1-10,2019-01-03,53000,USD,53000,53000,USD,53000,Pre-Seed,,Private,,,,,,
Moyunsec.com,https://www.crunchbase.com/organization/moyunsec-com,"Information Technology, Network Security, Service Industry","Haidian, Beijing, China",Moyunsec.com is a Chinese network security service provider,"49,779",2017-01-01,year,http://www.moyunsec.com/,contact@moyunsec.com,,,2019-06-14,,,,3000000,USD,3000000,Series A,,Private,,,,,,
"Mahalo Technologies, Inc.",https://www.crunchbase.com/organization/mahalo-software,"Banking, Finance, Mobile, Security, Software","Chelsea, Michigan, United States","Providing secure, user driven, digital banking and analytical solutions.","50,267",2017-01-01,year,http://www.mahalobanking.com,info@mahalobanking.com,,1-10,2018-02-01,1000000,USD,1000000,1000000,USD,1000000,Seed,,Private,,,,,,
SmartCapital,https://www.crunchbase.com/organization/smartcapital-9328,"Blockchain, Finance, Marketplace","Boulder, Colorado, United States",​A marketplace to launch venture funds and enable anyone to invest in them.,"50,426",2017-11-01,month,http://smartcapitalx.com,marketing@smartcapitalx.com,1,11-50,2018-01-01,250000,USD,250000,250000,USD,250000,Seed,,Private,,,,,,
Beauty Park,https://www.crunchbase.com/organization/beauty-park,"Analytics, Angel Investment, Artificial Intelligence, Big Data, Blockchain, Blogging Platforms, Brand Marketing, Communities, Cosmetics, Crowdfunding, E-Commerce, E-Commerce Platforms, Marketplace, Mobile Advertising, Personal Health, Social Entrepreneurship, Venture Capital, Web Development","West Hollywood, California, United States","Beauty Park is a technology-driven, membership-based e-commerce community offering low online prices and while rewarding content.","50,505",2017-01-01,year,http://www.beautypark.com,brian@beautypark.com,,1-10,2018-05-15,226900,USD,226900,226900,USD,226900,Seed,,Private,,,,,,
Netvote,https://www.crunchbase.com/organization/netvote,"Blockchain, Information Technology","Washington, District of Columbia, United States","Netvote is an open source voting protocol, soon available on multiple blockchain platforms.","50,643",2017-01-01,year,https://netvote.io/,,,1-10,2018-08-07,1500000,USD,1500000,1500000,USD,1500000,Seed,,Private,,,,,,
Bundle Network,https://www.crunchbase.com/organization/bundle-network,"Blockchain, FinTech, Information Technology, Internet","Malta, Illinois, United States",Bundle Network is an online platform connected to multiple cryptocurrency exchanges.,"50,878",2017-01-01,year,http://bundle.network/,,,,2018-08-20,125000,USD,125000,225000,USD,225000,Seed,,Private,,,,,,
Lino,https://www.crunchbase.com/organization/lino,"Blockchain, Content Creators, Video","Cupertino, California, United States",Lino network is a decentralized autonomous content economy.,"51,566",2017-07-01,day,https://lino.network/,info@lino.network,1,11-50,2018-02-05,20000000,USD,20000000,20000000,USD,20000000,Private Equity,,Private,,,,,,
Threshing Floor,https://www.crunchbase.com/organization/threshing-floor,"Artificial Intelligence, Computer, Cyber Security, Network Security","Washington, District of Columbia, United States",Threshing Floor is a cybersecurity product for enterprise security teams to detect threats.,"51,830",2017-01-01,year,https://threshingfloor.io/,,1,1-10,2018-06-11,100000,USD,100000,100000,USD,100000,Seed,,Private,,,,,,
Satochi,https://www.crunchbase.com/organization/satochi,"Cryptocurrency, FinTech","San Francisco, California, United States","Fintech, Investing, Cryptocurrency, Consumer","52,139",2017-12-01,month,http://www.satochi.io,info@satochi.io,1,1-10,2018-03-15,150000,USD,150000,150000,USD,150000,Pre-Seed,,Private,,,,,,
Kirobo,https://www.crunchbase.com/organization/kirobo,"Blockchain, Cryptocurrency, Security","Tel Aviv, Tel Aviv, Israel",KIROBO is developing  a blockchain based Safety-net to protect crypto assets from being lost or stolen,"52,321",2017-11-01,day,https://kirobo.io/,info@kirobo.io,,1-10,2018-02-01,2000000,USD,2000000,2000000,USD,2000000,Seed,,Private,,,,,,
Detexian,https://www.crunchbase.com/organization/detexian,"Enterprise, Information Technology, Robotics, Security, Software","San Diego, California, United States",Detexian is a cyber threat detection Saas for small & medium businesses.,"52,532",2017-07-01,month,https://www.detexian.com/,info@detexian.com,,1-10,2018-12-05,50000,AUD,36323,50000,AUD,36323,Seed,,Private,,,,,,
Apility.io,https://www.crunchbase.com/organization/apility-io,"Big Data, Cyber Security, Developer APIs, Reputation","Tallinn, Harjumaa, Estonia",Minimal and Simple Anti-Abuse API. Learn easily if your users are on an anti-abuse blacklist so that you can decide how to proceed.,"52,546",2017-10-01,day,https://apility.io,marketing@apility.io,,1-10,2017-12-01,500000,EUR,594649,500000,EUR,594649,Seed,,Private,,,,,,
Harena Data,https://www.crunchbase.com/organization/harena-data,"Analytics, Blockchain, Software","Franklin, Indiana, United States",Harena Data is uses blockchain technology to develop e-sports data analytics and social media platform called Scout Platform.,"52,985",2017-01-01,year,http://harenadata.net/,info@harenadata.net,,1-10,2018-11-15,210000,USD,210000,210000,USD,210000,Seed,,Private,,,,,,
MindDust Labs LLC,https://www.crunchbase.com/organization/minddust-labs,"Artificial Intelligence, Augmented Reality, Cloud Computing, Computer Vision, Consulting, Data Center Automation, Intellectual Property, Internet of Things, Machine Learning, Penetration Testing, Public Safety, Security, Smart Building, Smart Home, Virtual Reality, Wearables","Globel, Bohinj Commune, Slovenia",Mind Dust - Particles of mental substance which exist alongside particles of matter and which combine to form individual minds. ,"53,343",2017-01-01,year,http://www.minddustlabs.com/,,2,,2017-10-31,5000000,USD,5000000,5000000,USD,5000000,Seed,,Private,,,,,,
"OpenAVN, Inc",https://www.crunchbase.com/organization/openavn,"Architecture, Blockchain, Cloud Security, Crowdsourcing, Cyber Security, Network Security, Security, Software","New York, New York, United States",OpenAVN is the World's 1st Decentralized Antivirus Solution. It's a crowdsourced Realtime Malware Protection System based on Blockchain.,"53,399",2017-08-01,month,https://openavn.org,info@openavn.com,2,,2018-08-21,150000,USD,150000,275000,USD,275000,Pre-Seed,,Private,,,,,,
PaymentBox,https://www.crunchbase.com/organization/paymentbox,"B2B, Blockchain, Cryptocurrency, FinTech, Payments","Singapore, Central Region, Singapore","Payment, Cryptocurrency,  blockchain, delegation, b2b, fintech","53,600",2017-09-01,month,https://paymentbox.io/,account@paymentbox.io,,1-10,2017-09-01,100000,USD,100000,100000,USD,100000,Seed,,Private,,,,,,
Rare Bits,https://www.crunchbase.com/organization/rare-bits,"Blockchain, Cryptocurrency, Marketplace, Peer to Peer","San Francisco, California, United States","Rare Bits is a zero-fee peer-to-peer marketplace to buy, sell, and discover crypto goods.","53,671",2017-01-01,year,https://rarebits.io/,support@rarebits.io,3,1-10,2018-04-19,6000000,USD,6000000,6000000,USD,6000000,Series A,,Private,,,,,,
Homi SmartHome,https://www.crunchbase.com/organization/homi-smarthome,"Automotive, Blockchain, Internet of Things, Service Industry","Hong Kong, Hong Kong Island, Hong Kong","Homi SmartHome is control your home from air conditioning, lights, video, and security locks.","53,974",2017-06-03,day,http://myhomi.io/,info@myhomi.io,,11-50,2017-06-03,410000,USD,410000,410000,USD,410000,Seed,,Private,,,,,,
CoinCheckup,https://www.crunchbase.com/organization/coincheckup-com,"Advertising, Blockchain, Cryptocurrency, Predictive Analytics, Product Research","Hong Kong, Hong Kong Island, Hong Kong",Coincheckup is a cryptocurrency analysis and research platform designed to offer you transparent information on each cryptocurrency.,"54,023",2017-01-01,year,https://coincheckup.com,contact@coincheckup.com,1,11-50,2017-06-01,50000,USD,50000,50000,USD,50000,Seed,,Private,,,,,,
TrustCheckr,https://www.crunchbase.com/organization/trustcheckr,"Fraud Detection, Information Technology, Internet","Bengaluru, Karnataka, India", A Bengaluru-based fraud analytics solution provider  .,"54,162",2017-01-01,year,http://www.trustcheckr.com,,,1-10,2018-03-12,100000,USD,100000,100000,USD,100000,Angel,,Private,,,,,,
Bitbutter,https://www.crunchbase.com/organization/bitbutter,"Blockchain, Cryptocurrency, Developer APIs, FinTech","San Francisco, California, United States",Crypto-asset account aggregation API for fintechs and financial institutions.,"54,387",2017-11-01,month,https://www.bitbutter.com/,hello@bitbutter.com,,,2018-01-22,100000,USD,100000,100000,USD,100000,Seed,,Private,,,,,,
WebTotem,https://www.crunchbase.com/organization/webtotem,Cyber Security,"Tallinn, Harjumaa, Estonia",WebTotem is a SaaS which provides powerful tools for securing and monitoring your website in one place in easy and flexible way.,"54,484",2017-04-01,day,https://wtotem.com,os@wtotem.com,,11-50,2019-03-25,40000,EUR,45261,345261,USD,345261,Pre-Seed,,Private,,,,,,
Coinstruction Network,https://www.crunchbase.com/organization/coinstruction-network,"Blockchain, Cryptocurrency, Finance, Financial Exchanges, FinTech","Zug, Zug, Switzerland",A B2B & B2C vast liquidity pool consisting of diverse liquidity providers,"54,490",2017-03-06,day,https://coinstruction.com,support@coinstruction.com,,11-50,2018-11-23,,,,250000,USD,250000,Private Equity,,Private,,,,,,
